Region;Date;CSS_Max;CSS_Min;CPP_Max;CPP_Min;EST_Max;EST_Min;ESD_Max;ESD_Min
Rio de Janeiro;2013-01-01;420.0;346.0;420.0;335.0;12.73;12.4;8.78;8.66
Rio de Janeiro;2014-01-01;469.0;381.0;462.0;284.0;12.72;12.1;8.8;8.54
Rio de Janeiro;2015-01-01;437.0;342.0;514.0;269.0;12.71;12.7;8.83;8.65
Rio de Janeiro;2016-01-01;500.0;379.0;385.0;181.0;12.63;12.6;8.75;8.59
Rio de Janeiro;2017-01-01;463.0;406.0;254.0;157.0;12.67;11.93;8.82;8.53
Rio de Janeiro;2018-01-01;475.0;409.0;267.0;157.0;12.68;12.5;8.8;8.61
Rio de Janeiro;2019-01-01;555.0;451.0;189.0;97.0;12.63;11.98;8.78;8.55
Rio de Janeiro;2020-01-01;570.0;473.0;205.0;81.0;12.46;12.1;8.7;8.57
Rio de Janeiro;2021-01-01;568.0;466.0;159.0;71.0;12.68;12.5;8.8;8.55
Rio de Janeiro;2022-01-01;615.0;432.0;123.0;63.0;12.72;12.7;8.77;8.55
Rio de Janeiro;2023-01-01;598.0;502.0;118.0;81.0;12.64;12.18;8.8;8.67
Espirito Santo;2013-01-01;315.0;277.0;430.0;209.0;12.73;12.13;8.8;8.65
Espirito Santo;2014-01-01;362.0;292.0;333.0;240.0;12.64;11.97;8.8;8.62
Espirito Santo;2015-01-01;370.0;304.0;331.0;220.0;12.65;11.93;8.82;8.54
Espirito Santo;2016-01-01;420.0;336.0;318.0;149.0;12.54;11.91;8.71;8.45
Espirito Santo;2017-01-01;427.0;379.0;393.0;176.0;12.67;12.5;8.82;8.55
Espirito Santo;2018-01-01;487.0;429.0;386.0;270.0;12.5;12.2;8.69;8.55
Espirito Santo;2019-01-01;472.0;441.0;294.0;118.0;12.51;11.96;8.73;8.55
Espirito Santo;2020-01-01;468.0;408.0;157.0;97.0;12.58;11.93;8.72;8.55
Espirito Santo;2021-01-01;474.0;380.0;121.0;52.0;12.64;12.1;8.82;8.56
Espirito Santo;2022-01-01;470.0;386.0;74.0;43.0;12.75;12.0;8.78;8.6
Espirito Santo;2023-01-01;461.0;384.0;93.0;55.0;12.7;12.2;8.87;8.62
Minas Gerais;2013-01-01;404.0;348.0;247.0;102.0;12.65;12.17;8.8;8.69
Minas Gerais;2014-01-01;454.0;373.0;181.0;121.0;13.1;12.66;8.82;8.62
Minas Gerais;2015-01-01;481.0;409.0;163.0;115.0;12.9;12.62;8.81;8.66
Minas Gerais;2016-01-01;487.0;395.0;167.0;88.0;13.1;12.53;8.73;8.6
Minas Gerais;2017-01-01;489.0;408.0;140.0;88.0;12.59;12.16;8.78;8.65
Minas Gerais;2018-01-01;537.0;441.0;135.0;96.0;13.1;12.6;8.79;8.65
Minas Gerais;2019-01-01;476.0;433.0;129.0;75.0;12.9;12.58;8.76;8.6
Minas Gerais;2020-01-01;486.0;425.0;93.0;58.0;12.61;12.3;8.76;8.61
Minas Gerais;2021-01-01;520.0;428.0;75.0;47.0;12.61;12.1;8.77;8.56
Minas Gerais;2022-01-01;542.0;456.0;75.0;47.0;12.63;12.15;8.76;8.64
Minas Gerais;2023-01-01;517.0;463.0;75.0;50.0;12.62;12.15;8.78;8.67
São Paulo;2013-01-01;366.0;316.0;223.0;108.0;12.8;12.59;8.77;8.66
